Altium Designer Pick and Place Locations
C:\Work\Bad-Fox_Charger_Inverter\Bad-Fox Prototype\Project Outputs for Bad-Fox Prototype\PCB Fabrication\Pick Place\Pick Place for Bad-Fox Prototype(Prototype).txt

========================================================================================================================
File Design Information:

Date:       23-09-21
Time:       19:24
Revision:   884a22afe350be89a793c6ad7cbf6759cac19a6e
Variant:    Prototype
Units used: mm

Designator Comment                                  Layer    Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                  
R96        "Res 4.30K 1/10W 1% 0603"                TopLayer RESC1608N-0603            355.3000     67.0000      180      "Res 4.30K 1/10W 1% 0603"                    
R95        "Res 4.30K 1/10W 1% 0603"                TopLayer RESC1608N-0603            346.5000     67.0000      180      "Res 4.30K 1/10W 1% 0603"                    
R94        "Res 4.30K 1/10W 1% 0603"                TopLayer RESC1608N-0603            339.3000     67.0000      180      "Res 4.30K 1/10W 1% 0603"                    
D15        CUS10S30,H3F                             TopLayer SOD-323                   360.0000     88.0000      180      "DIO, SCHOTTKY, 30V, 1A, SOD-323"            
R2         4.75                                     TopLayer RESC1608N-0603            158.0000     218.9500     90       "RES, 4.75R, 0.1W, 1%, 0603"                 
U10        ZLDO1117G50TA                            TopLayer SOT223-4N                 228.5000     49.0000      90       "IC, REG, LDO, Fixed, 5V, 1A, SOT-223-4"     
U9         ZLDO1117K33TC                            TopLayer TO252-229P970-3N          218.0000     47.1000      90       "IC, REG, LDO, Fixed, 3.3V, 1A, TO-252-3"    
J1         22-29-2021                               TopLayer CONN_HEADER_2-PIN_KK_6410 210.0000     29.5000      0        "CONN, HEADER, 2-POS, 2.54mm, TH"            
C51        1u                                       TopLayer CAPC1608N-0603            227.0000     43.0000      180      "CAP, 1u, 25V, ±10%, X5R, 0603"              
C50        1u                                       TopLayer CAPC1608N-0603            227.0000     40.5000      180      "CAP, 1u, 25V, ±10%, X5R, 0603"              
C49        1u                                       TopLayer CAPC1608N-0603            212.5000     46.5000      270      "CAP, 1u, 25V, ±10%, X5R, 0603"              
C48        1u                                       TopLayer CAPC1608N-0603            218.0000     40.5000      180      "CAP, 1u, 25V, ±10%, X5R, 0603"              
R93        4.3K                                     TopLayer RESC1608N-0603            357.0000     64.5000      180      "RES, 4.3K, 0.1W, 1%, 0603"                  
R92        4.3K                                     TopLayer RESC1608N-0603            349.0000     64.5000      180      "RES, 4.3K, 0.1W, 1%, 0603"                  
R91        4.3K                                     TopLayer RESC1608N-0603            341.0000     64.5000      180      "RES, 4.3K, 0.1W, 1%, 0603"                  
R90        100K                                     TopLayer RESC1608N-0603            355.3000     99.6000      180      "RES, 100K, 0.1W, 1%, 0603"                  
R89        100K                                     TopLayer RESC1608N-0603            346.5000     99.5000      180      "RES, 100K, 0.1W, 1%, 0603"                  
R88        100K                                     TopLayer RESC1608N-0603            338.0000     99.5000      180      "RES, 100K, 0.1W, 1%, 0603"                  
R87        100K                                     TopLayer RESC1608N-0603            355.3000     101.6000     360      "RES, 100K, 0.1W, 1%, 0603"                  
R86        100K                                     TopLayer RESC1608N-0603            346.5000     101.5000     360      "RES, 100K, 0.1W, 1%, 0603"                  
R85        100K                                     TopLayer RESC1608N-0603            338.0000     101.5000     360      "RES, 100K, 0.1W, 1%, 0603"                  
R84        4.3K                                     TopLayer RESC1608N-0603            232.4000     77.9000      90       "RES, 4.3K, 0.1W, 1%, 0603"                  
R83        100K                                     TopLayer RESC1608N-0603            355.3000     103.6000     180      "RES, 100K, 0.1W, 1%, 0603"                  
R82        100K                                     TopLayer RESC1608N-0603            346.5000     103.5000     180      "RES, 100K, 0.1W, 1%, 0603"                  
R81        100K                                     TopLayer RESC1608N-0603            338.0000     103.5000     180      "RES, 100K, 0.1W, 1%, 0603"                  
R80        100K                                     TopLayer RESC1608N-0603            355.3000     105.6000     360      "RES, 100K, 0.1W, 1%, 0603"                  
R79        100K                                     TopLayer RESC1608N-0603            346.5000     105.5000     360      "RES, 100K, 0.1W, 1%, 0603"                  
R78        100K                                     TopLayer RESC1608N-0603            338.0000     105.5000     360      "RES, 100K, 0.1W, 1%, 0603"                  
R77        100K                                     TopLayer RESC1608N-0603            141.5000     96.0000      180      "RES, 100K, 0.1W, 1%, 0603"                  
R76        10K                                      TopLayer RESC1608N-0603            359.0000     79.0000      180      "RES, 10K, 0.1W, 1%, 0603"                   
R75        10K                                      TopLayer RESC1608N-0603            352.0000     79.0000      180      "RES, 10K, 0.1W, 1%, 0603"                   
R74        100K                                     TopLayer RESC1608N-0603            355.3000     107.6000     180      "RES, 100K, 0.1W, 1%, 0603"                  
R73        100K                                     TopLayer RESC1608N-0603            346.5000     107.5000     180      "RES, 100K, 0.1W, 1%, 0603"                  
R72        100K                                     TopLayer RESC1608N-0603            338.0000     107.5000     180      "RES, 100K, 0.1W, 1%, 0603"                  
R71        100K                                     TopLayer RESC1608N-0603            138.0000     96.0000      180      "RES, 100K, 0.1W, 1%, 0603"                  
R70        100K                                     TopLayer RESC1608N-0603            355.3000     109.6000     360      "RES, 100K, 0.1W, 1%, 0603"                  
R69        100K                                     TopLayer RESC1608N-0603            346.5000     109.5000     360      "RES, 100K, 0.1W, 1%, 0603"                  
R68        100K                                     TopLayer RESC1608N-0603            338.0000     109.5000     360      "RES, 100K, 0.1W, 1%, 0603"                  
R66        100K                                     TopLayer RESC1608N-0603            134.3500     96.0000      180      "RES, 100K, 0.1W, 1%, 0603"                  
R65        100K                                     TopLayer RESC1608N-0603            131.0000     96.0000      180      "RES, 100K, 0.1W, 1%, 0603"                  
R64        1K                                       TopLayer RESC1608N-0603            229.7000     60.9000      90       "RES, 1K, 0.1W, 1%, 0603"                    
R63        100K                                     TopLayer RESC1608N-0603            127.5000     96.0000      180      "RES, 100K, 0.1W, 1%, 0603"                  
R62        100K                                     TopLayer RESC1608N-0603            124.0000     96.0000      180      "RES, 100K, 0.1W, 1%, 0603"                  
R61        49.9K                                    TopLayer RESC1608N-0603            133.9840     111.9000     90       "RES, 49.9K, 0.1W, 1%, 0603"                 
R60        10                                       TopLayer RESC1608N-0603            130.0840     111.9000     270      "RES, 10R, 0.1W, 1%, 0603"                   
R59        1K                                       TopLayer RESC1608N-0603            216.7000     58.9000      270      "RES, 1K, 0.1W, 1%, 0603"                    
R58        10K                                      TopLayer RESC1608N-0603            221.7000     65.4000      90       "RES, 10K, 0.1W, 1%, 0603"                   
R57        49.9K                                    TopLayer RESC1608N-0603            141.0000     117.6000     90       "RES, 49.9K, 0.1W, 1%, 0603"                 
R56        4.99K                                    TopLayer RESC1608N-0603            122.5000     119.6000     360      "RES, 4.99K, 0.1W, 1%, 0603"                 
R55        1K                                       TopLayer RESC1608N-0603            218.7000     62.9000      270      "RES, 1K, 0.1W, 1%, 0603"                    
R54        4.99K                                    TopLayer RESC1608N-0603            122.5000     117.6000     360      "RES, 4.99K, 0.1W, 1%, 0603"                 
R53        10                                       TopLayer RESC1608N-0603            141.0000     122.1000     90       "RES, 10R, 0.1W, 1%, 0603"                   
